volts	mAhg
4.08758679	149.7084962
4.08850233	149.8494662
4.08957046	149.9904398
4.090486	150.1314098
4.09124895	150.2723797
4.09231708	150.4133496
4.09308003	150.5543233
4.09430076	150.6952932
4.09491112	150.8362632
4.09582666	150.9772368
4.0967422	151.1182068
4.09765774	151.2591767
4.09857328	151.4001504
4.09948882	151.5411203
4.10055695	151.6820902
4.10131991	151.8230639
4.10238804	151.9640338
4.10315099	152.1050038
4.10421912	152.2459774
4.10498207	152.3869474
4.10589761	152.5279173
4.10696574	152.668891
4.10788128	152.8098609
4.10894942	152.9508308
4.10955978	153.0918045
4.11062791	153.2327744
4.11169604	153.3737444
4.11245899	153.514718
4.11322194	153.655688
4.11444266	153.7966579
4.11520562	153.9376316
4.11627375	154.0786015
4.1170367	154.2195714
4.11810483	154.3605451
4.11886778	154.501515
4.11978332	154.642485
4.12085145	154.7834586
4.12191958	154.9244286
4.12283513	155.0653985
4.12359808	155.2063722
4.12451362	155.3473421
4.12558175	155.488312
4.12664988	155.6292857
4.12756542	155.7702556
4.12848096	155.9112256
4.12924392	156.0521992
4.13015946	156.1931692
4.131075	156.3341391
4.13199054	156.4751128
4.13305867	156.6160827
4.13397421	156.7570526
4.13488975	156.8980263
4.13580529	157.0389962
4.13672084	157.1799662
4.13763638	157.3209398
4.13870451	157.4619098
4.13977264	157.6028797
4.14068818	157.7438534
4.14145113	157.8848233
4.14236667	158.0257932
4.14343481	158.1667669
4.14435035	158.3077368
4.14526589	158.4487068
4.14618143	158.5896805
4.14740215	158.7306504
4.14831769	158.8716203
4.14908064	159.012594
4.14999619	159.1535639
4.15106432	159.2945338
4.15197986	159.4355075
4.15304799	159.5764774
4.15396353	159.7174474
4.15503166	159.8584211
4.15579461	159.999391
4.15671015	160.1403609
4.15777829	160.2813346
4.15884642	160.4223045
4.15960937	160.5632744
4.1606775	160.7042481
4.16159304	160.845218
4.16266117	160.986188
4.16342412	161.1271617
4.16433967	161.2681316
4.1654078	161.4091015
4.16632334	161.5500752
